# simv0_comparison.dat  --  decoupled vs coupled at aligned times
#   (spatial results in simv0_spatial.dat; adaptive step was used)
# t(s)          T_dec(K)       T_coup(K)      WS(m/s)        G_eff(W/m2)    h_eff(W/m2K)   P_dec(W)       P_coup(W)
    6200.000000     328.132510     301.065116       6.909764     284.559257      31.959243     288.000000      80.878004
    6300.000000     328.132510     301.139176       7.125550     291.976463      32.779175     288.000000      82.958113
    6400.000000     328.132510     301.215326       7.328989     299.400299      33.552198     288.000000      85.037870
    6500.000000     328.132510     301.292819       7.522445     306.828932      34.287296     288.000000      87.116990
    6600.000000     328.132510     301.371011       7.707729     314.260593      34.991343     288.000000      89.195192
    6700.000000     328.132510     301.449387       7.886213     321.693577      35.669551     288.000000      91.272187
    6800.000000     328.132510     301.527548       8.058931     329.126235      36.325855     288.000000      93.347671
    6900.000000     328.132510     301.605202       8.226666     336.556973      36.963225     288.000000      95.421325
    7000.000000     328.132510     301.682143       8.390011     343.984249      37.583917     288.000000      97.492822
    7100.000000     328.132510     301.758228       8.549423     351.406571      38.189661     288.000000      99.561823
    7200.000000     328.132510     301.833369       8.705254     358.822495      38.781802     288.000000     101.627987
    7300.000000     328.132510     301.907512       8.857786     366.230618      39.361404     288.000000     103.690972
    7400.000000     328.132510     301.980630       9.007244     373.629585      39.929327     288.000000     105.750438
    7500.000000     328.132510     302.052713       9.153815     381.018075      40.486283     288.000000     107.806048
    7600.000000     328.132510     302.123765       9.297658     388.394811      41.032869     288.000000     109.857472
    7700.000000     328.132510     302.193796       9.438907     395.758548      41.569598     288.000000     111.904386
    7800.000000     328.132510     302.262822       9.577680     403.108080      42.096922     288.000000     113.946473
    7900.000000     328.132510     302.330860       9.714082     410.442230      42.615236     288.000000     115.983424
    8000.000000     328.132510     302.397932       9.848208     417.759857      43.124900     288.000000     118.014937
    8100.000000     328.132510     302.464057       9.980142     425.059846      43.626237     288.000000     120.040718
    8200.000000     328.132510     302.529256      10.109962     432.341115      44.119542     288.000000     122.060482
    8300.000000     328.132510     302.593549      10.237740     439.602607      44.605086     288.000000     124.073950
    8400.000000     328.132510     302.656955      10.363542     446.843293      45.083120     288.000000     126.080850
    8500.000000     328.132510     302.719493      10.487428     454.062167      45.553876     288.000000     128.080919
    8600.000000     328.132510     302.781182      10.609456     461.258249      46.017570     288.000000     130.073898
    8700.000000     328.132510     302.842038      10.729678     468.430584      46.474404     288.000000     132.059537
    8800.000000     328.132510     302.902078      10.848144     475.578236      46.924564     288.000000     134.037591
    8900.000000     328.132510     302.961318      10.964901     482.700292      47.368229     288.000000     136.007822
    9000.000000     328.132510     303.019774      11.079991     489.795859      47.805563     288.000000     137.969995
    9100.000000     328.132510     303.077459      11.193456     496.864065      48.236722     288.000000     139.923884
    9200.000000     328.132510     303.134388      11.305335     503.904057      48.661852     288.000000     141.869266
    9300.000000     328.132510     303.190574      11.415665     510.914997      49.081093     288.000000     143.805924
    9400.000000     328.132510     303.246029      11.524478     517.896070      49.494576     288.000000     145.733647
    9500.000000     328.132510     303.300767      11.631809     524.846473      49.902424     288.000000     147.652227
    9600.000000     328.132510     303.354799      11.737688     531.765423      50.304754     288.000000     149.561461
    9700.000000     328.132510     303.408135      11.842144     538.652150      50.701679     288.000000     151.461151
    9800.000000     328.132510     303.460787      11.945205     545.505901      51.093304     288.000000     153.351102
    9900.000000     328.132510     303.512765      12.046898     552.325938      51.479730     288.000000     155.231125
   10000.000000     328.132510     303.564080      12.147249     559.111536      51.861053     288.000000     157.101034
   10100.000000     328.132510     303.614739      12.246280     565.861984      52.237364     288.000000     158.960646
   10200.000000     328.132510     303.664754      12.344015     572.576585      52.608751     288.000000     160.809782
   10300.000000     328.132510     303.714132      12.440476     579.254655      52.975296     288.000000     162.648268
   10400.000000     328.132510     303.762883      12.535685     585.895521      53.337080     288.000000     164.475932
   10500.000000     328.132510     303.811013      12.629660     592.498523      53.694179     288.000000     166.292607
   10600.000000     328.132510     303.858532      12.722421     599.063015      54.046664     288.000000     168.098126
   10700.000000     328.132510     303.905447      12.813987     605.588358      54.394608     288.000000     169.892328
   10800.000000     328.132510     303.951765      12.904375     612.073928      54.738075     288.000000     171.675054
   10900.000000     328.132510     303.997493      12.993602     618.519110      55.077131     288.000000     173.446149
   11000.000000     328.132510     304.042638      13.081684     624.923299      55.411837     288.000000     175.205459
   11100.000000     328.132510     304.087206      13.168637     631.285902      55.742252     288.000000     176.952835
   11200.000000     328.132510     304.131205      13.254475     637.606335      56.068433     288.000000     178.688129
   11300.000000     328.132510     304.174639      13.339214     643.884024      56.390434     288.000000     180.411196
   11400.000000     328.132510     304.217515      13.422867     650.118403      56.708310     288.000000     182.121894
   11500.000000     328.132510     304.259840      13.505448     656.308917      57.022109     288.000000     183.820083
   11600.000000     328.132510     304.301617      13.586968     662.455019      57.331882     288.000000     185.505626
   11700.000000     328.132510     304.342853      13.667441     668.556173      57.637674     288.000000     187.178388
   11800.000000     328.132510     304.383553      13.746879     674.611848      57.939531     288.000000     188.838236
   11900.000000     328.132510     304.423721      13.825293     680.621523      58.237498     288.000000     190.485040
   12000.000000     328.132510     304.463363      13.902693     686.584688      58.531615     288.000000     192.118672
   12100.000000     328.132510     304.502484      13.979092     692.500836      58.821925     288.000000     193.739006
   12200.000000     328.132510     304.541087      14.054499     698.369471      59.108466     288.000000     195.345919
   12300.000000     328.132510     304.579178      14.128924     704.190106      59.391275     288.000000     196.939287
   12400.000000     328.132510     304.616760      14.202376     709.962258      59.670391     288.000000     198.518992
   12500.000000     328.132510     304.653838      14.274866     715.685454      59.945848     288.000000     200.084916
   12600.000000     328.132510     304.690416      14.346402     721.359227      60.217681     288.000000     201.636943
   12700.000000     328.132510     304.726497      14.416993     726.983119      60.485922     288.000000     203.174959
   12800.000000     328.132510     304.762086      14.486648     732.556677      60.750604     288.000000     204.698852
   12900.000000     328.132510     304.797185      14.555374     738.079457      61.011759     288.000000     206.208512
   13000.000000     328.132510     304.831800      14.623179     743.551019      61.269415     288.000000     207.703830
   13100.000000     328.132510     304.865932      14.690072     748.970933      61.523603     288.000000     209.184700
   13200.000000     328.132510     304.899585      14.756059     754.338773      61.774350     288.000000     210.651016
   13300.000000     328.132510     304.932763      14.821148     759.654121      62.021684     288.000000     212.102677
   13400.000000     328.132510     304.965469      14.885346     764.916565      62.265631     288.000000     213.539579
   13500.000000     328.132510     304.997706      14.948659     770.125700      62.506217     288.000000     214.961623
   13600.000000     328.132510     305.029477      15.011094     775.281126      62.743468     288.000000     216.368712
   13700.000000     328.132510     305.060784      15.072658     780.382450      62.977406     288.000000     217.760747
   13800.000000     328.132510     305.091630      15.133356     785.429284      63.208056     288.000000     219.137635
   13900.000000     328.132510     305.122019      15.193195     790.421249      63.435440     288.000000     220.499281
   14000.000000     328.132510     305.151953      15.252180     795.357968      63.659580     288.000000     221.845594
   14100.000000     328.132510     305.181434      15.310318     800.239073      63.880498     288.000000     223.176484
   14200.000000     328.132510     305.210465      15.367612     805.064200      64.098215     288.000000     224.491860
   14300.000000     328.132510     305.239048      15.424070     809.832992      64.312750     288.000000     225.791637
   14400.000000     328.132510     305.267186      15.479695     814.545097      64.524124     288.000000     227.075727
   14500.000000     328.132510     305.294881      15.534494     819.200168      64.732355     288.000000     228.344047
   14600.000000     328.132510     305.322135      15.588470     823.797865      64.937461     288.000000     229.596512
   14700.000000     328.132510     305.348951      15.641629     828.337853      65.139462     288.000000     230.833042
   14800.000000     328.132510     305.375330      15.693975     832.819803      65.338373     288.000000     232.053556
   14900.000000     328.132510     305.401274      15.745513     837.243389      65.534213     288.000000     233.257974
   15000.000000     328.132510     305.426786      15.796246     841.608293      65.726997     288.000000     234.446220
   15100.000000     328.132510     305.451868      15.846180     845.914203      65.916742     288.000000     235.618218
   15200.000000     328.132510     305.476521      15.895317     850.160809      66.103463     288.000000     236.773891
   15300.000000     328.132510     305.500747      15.943663     854.347809      66.287175     288.000000     237.913167
   15400.000000     328.132510     305.524548      15.991222     858.474905      66.467893     288.000000     239.035973
   15500.000000     328.132510     305.547925      16.037995     862.541805      66.645631     288.000000     240.142238
   15600.000000     328.132510     305.570881      16.083989     866.548222      66.820403     288.000000     241.231893
   15700.000000     328.132510     305.593417      16.129205     870.493873      66.992222     288.000000     242.304869
   15800.000000     328.132510     305.615535      16.173648     874.378482      67.161102     288.000000     243.361100
   15900.000000     328.132510     305.637236      16.217321     878.201776      67.327056     288.000000     244.400518
   16000.000000     328.132510     305.658521      16.260226     881.963490      67.490095     288.000000     245.423060
   16100.000000     328.132510     305.679392      16.302368     885.663360      67.650232     288.000000     246.428663
   16200.000000     328.132510     305.699851      16.343749     889.301130      67.807478     288.000000     247.417263
