# simv0 diagnostic: method selection + RK45 step-size log
# DECOUPLED method: Classical RK4
#   reason: Stiffness: tau/h=   3.9 < 5, tol=  0.100 K: O(h^4) accuracy
# COUPLED   method: Classical RK4
#   reason: BTE-NS coupling, tau/h=   3.9, tol=  0.100 K: O(h^4) accuracy
# SPATIAL   method: RK45 Dormand-Prince (adaptive)
#   reason: Spatial 1D PDE, tau/h=   3.9: adaptive error control essential
#
# RK45 adaptive log (spatial mode only):
# t(s)          h_used(s)      err_norm       accept
          0.000     100.000000***************  REJECT
        311.721       2.707319       0.842527  ACCEPT
        314.428       2.521536       0.986532  ACCEPT
        316.950       2.275545       0.619688  ACCEPT
        319.225       2.253686       0.363571  ACCEPT
        321.479       2.483236       0.375851  ACCEPT
        323.962       2.718049       0.665365  ACCEPT
        326.680       2.653920       1.053803  REJECT
        326.680       2.363624       0.534681  ACCEPT
        329.044       2.411026       0.464545  ACCEPT
        331.455       2.529524       0.535660  ACCEPT
        333.984       2.579310       0.700019  ACCEPT
        336.564       2.493010       0.753761  ACCEPT
        339.057       2.374213       0.604253  ACCEPT
        341.431       2.363298       0.467382  ACCEPT
        343.794       2.476433       0.474809  ACCEPT
        346.271       2.586815       0.627672  ACCEPT
        348.858       2.555414       0.781951  ACCEPT
        351.413       2.415839       0.698524  ACCEPT
        353.829       2.336007       0.506106  ACCEPT
        356.165       2.409175       0.437417  ACCEPT
        358.574       2.558184       0.538726  ACCEPT
        361.132       2.605557       0.749605  ACCEPT
        363.738       2.484143       0.793062  ACCEPT
        366.222       2.341843       0.586328  ACCEPT
        368.564       2.345159       0.433144  ACCEPT
        370.909       2.495101       0.459530  ACCEPT
        373.404       2.623421       0.660935  ACCEPT
        376.027       2.564950       0.845492  ACCEPT
        378.592       2.387258       0.705365  ACCEPT
        380.980       2.303876       0.470663  ACCEPT
        383.283       2.410791       0.408344  ACCEPT
        385.694       2.595355       0.547388  ACCEPT
        388.290       2.634997       0.817359  ACCEPT
        390.925       2.469108       0.837726  ACCEPT
        393.394       2.302302       0.560082  ACCEPT
        395.696       2.326775       0.395166  ACCEPT
        398.023       2.521396       0.445639  ACCEPT
        400.544       2.667393       0.708744  ACCEPT
        403.212       2.571768       0.926275  ACCEPT
        405.783       2.350316       0.706143  ACCEPT
        408.134       2.267724       0.429169  ACCEPT
        410.401       2.417169       0.378548  ACCEPT
        412.819       2.641954       0.563615  ACCEPT
        415.460       2.666682       0.908383  ACCEPT
        418.127       2.446583       0.886152  ACCEPT
        420.574       2.255801       0.525164  ACCEPT
        422.830       2.309321       0.355283  ACCEPT
        425.139       2.556301       0.434305  ACCEPT
        427.695       2.718289       0.775166  ACCEPT
        430.413       2.574300       1.026126  REJECT
        430.413       2.304950       0.537983  ACCEPT
        432.718       2.348283       0.400408  ACCEPT
        435.067       2.538005       0.469383  ACCEPT
        437.605       2.657232       0.731222  ACCEPT
        440.262       2.546022       0.899550  ACCEPT
        442.808       2.340452       0.667076  ACCEPT
        445.148       2.284058       0.422569  ACCEPT
        447.432       2.442137       0.395490  ACCEPT
        449.875       2.645973       0.595212  ACCEPT
        452.521       2.641762       0.908181  ACCEPT
        455.162       2.423827       0.836032  ACCEPT
        457.586       2.260995       0.501230  ACCEPT
        459.847       2.336333       0.362705  ACCEPT
        462.183       2.575529       0.463319  ACCEPT
        464.759       2.703541       0.802707  ACCEPT
        467.463       2.542518       0.985833  ACCEPT
        470.005       2.294805       0.651657  ACCEPT
        472.300       2.250010       0.378367  ACCEPT
        474.550       2.459486       0.369751  ACCEPT
        477.009       2.700878       0.628965  ACCEPT
        479.710       2.666995       1.022614  REJECT
        479.710       2.389584       0.537201  ACCEPT
        482.100       2.435216       0.495175  ACCEPT
        484.535       2.522483       0.562533  ACCEPT
        487.058       2.547071       0.682098  ACCEPT
        489.605       2.474653       0.700447  ACCEPT
        492.079       2.391563       0.584661  ACCEPT
        494.471       2.396312       0.490612  ACCEPT
        496.867       2.486785       0.511374  ACCEPT
        499.354       2.559370       0.635457  ACCEPT
        501.913       2.522077       0.730334  ACCEPT
        504.435       2.417111       0.651773  ACCEPT
        506.852       2.369844       0.513426  ACCEPT
        509.222       2.437062       0.474930  ACCEPT
        511.659       2.545559       0.569206  ACCEPT
        514.205       2.564317       0.719950  ACCEPT
        516.769       2.464642       0.723476  ACCEPT
        519.234       2.366527       0.567421  ACCEPT
        521.600       2.385464       0.463182  ACCEPT
        523.986       2.504177       0.502603  ACCEPT
        526.490       2.586203       0.665172  ACCEPT
        529.076       2.525331       0.772828  ACCEPT
        531.602       2.393009       0.650750  ACCEPT
        533.995       2.346951       0.483719  ACCEPT
        536.342       2.442462       0.452951  ACCEPT
        538.784       2.575492       0.581662  ACCEPT
        541.360       2.583262       0.770962  ACCEPT
        543.943       2.449088       0.748326  ACCEPT
        546.392       2.335763       0.543107  ACCEPT
        548.728       2.375167       0.431949  ACCEPT
        551.103       2.528425       0.495701  ACCEPT
        553.631       2.618476       0.707497  ACCEPT
        556.250       2.525493       0.825725  ACCEPT
        558.775       2.361683       0.643889  ACCEPT
        561.137       2.321143       0.448163  ACCEPT
        563.458       2.452771       0.429980  ACCEPT
        565.911       2.613425       0.602208  ACCEPT
        568.524       2.603174       0.839058  ACCEPT
        571.127       2.426539       0.773525  ACCEPT
        573.554       2.298979       0.510976  ACCEPT
        575.853       2.366450       0.397809  ACCEPT
        578.219       2.560973       0.491916  ACCEPT
        580.780       2.656252       0.766728  ACCEPT
        583.437       2.521062       0.890171  ACCEPT
        585.958       2.322370       0.629202  ACCEPT
        588.280       2.293062       0.407719  ACCEPT
        590.573       2.469370       0.407044  ACCEPT
        593.042       2.660115       0.633620  ACCEPT
        595.703       2.622872       0.928598  ACCEPT
        598.325       2.395819       0.796755  ACCEPT
        600.721       2.256481       0.471328  ACCEPT
        602.978       2.360530       0.362262  ACCEPT
        605.338       2.602840       0.492617  ACCEPT
        607.941       2.698908       0.847792  ACCEPT
        610.640       2.510573       0.966201  ACCEPT
        613.151       2.275107       0.605319  ACCEPT
        615.426       2.263849       0.364434  ACCEPT
        617.690       2.493252       0.385367  ACCEPT
        620.183       2.715400       0.678761  ACCEPT
        622.898       2.640784       1.043365  REJECT
        622.898       2.356613       0.535721  ACCEPT
        625.255       2.402940       0.456177  ACCEPT
        627.658       2.530223       0.526447  ACCEPT
        630.188       2.588990       0.703140  ACCEPT
        632.777       2.500141       0.770610  ACCEPT
        635.277       2.370501       0.612434  ACCEPT
        637.648       2.353264       0.461925  ACCEPT
        640.001       2.471718       0.463803  ACCEPT
        642.473       2.594028       0.622806  ACCEPT
        645.067       2.566532       0.796443  ACCEPT
        647.633       2.417454       0.715043  ACCEPT
        650.051       2.326668       0.506080  ACCEPT
        652.377       2.399568       0.427184  ACCEPT
        654.777       2.560074       0.527991  ACCEPT
        657.337       2.618001       0.755553  ACCEPT
        659.955       2.492065       0.815549  ACCEPT
        662.447       2.336210       0.594916  ACCEPT
        664.783       2.332723       0.425981  ACCEPT
        667.116       2.490162       0.446553  ACCEPT
        669.606       2.633271       0.656150  ACCEPT
        672.239       2.578324       0.866386  ACCEPT
        674.818       2.388019       0.725219  ACCEPT
        677.206       2.291851       0.469367  ACCEPT
        679.498       2.399531       0.396290  ACCEPT
        681.897       2.598761       0.534902  ACCEPT
        684.496       2.650660       0.827321  ACCEPT
        687.146       2.477774       0.867220  ACCEPT
        689.624       2.294448       0.568803  ACCEPT
        691.919       2.311683       0.386436  ACCEPT
        694.230       2.516260       0.430582  ACCEPT
        696.747       2.680321       0.704130  ACCEPT
        699.427       2.587609       0.955665  ACCEPT
        702.015       2.350066       0.729485  ACCEPT
        704.365       2.252783       0.426641  ACCEPT
        706.617       2.404082       0.364895  ACCEPT
        709.022       2.647026       0.548968  ACCEPT
        711.669       2.685909       0.923627  ACCEPT
        714.354       2.456034       0.923984  ACCEPT
        716.810       2.245660       0.533873  ACCEPT
        719.056       2.291390       0.345424  ACCEPT
        721.348       2.550769       0.417024  ACCEPT
        723.898       2.734522       0.770433  ACCEPT
        726.633       2.592848       1.066223  REJECT
        726.633       2.303827       0.534409  ACCEPT
        728.937       2.350269       0.399717  ACCEPT
        731.287       2.541029       0.471879  ACCEPT
        733.828       2.657578       0.735928  ACCEPT
        736.486       2.543088       0.899278  ACCEPT
        739.029       2.337895       0.662419  ACCEPT
        741.367       2.284763       0.420353  ACCEPT
        743.651       2.445461       0.396546  ACCEPT
        746.097       2.648162       0.599874  ACCEPT
        748.745       2.639825       0.911620  ACCEPT
        751.385       2.420220       0.831714  ACCEPT
        753.805       2.259969       0.497202  ACCEPT
        756.065       2.339044       0.362251  ACCEPT
        758.404       2.579165       0.466606  ACCEPT
        760.983       2.703532       0.808750  ACCEPT
        763.687       2.538698       0.984535  ACCEPT
        766.225       2.291962       0.645841  ACCEPT
        768.517       2.251255       0.376222  ACCEPT
        770.769       2.463647       0.371273  ACCEPT
        773.232       2.703225       0.635031  ACCEPT
        775.935       2.664193       1.026441  REJECT
        775.935       2.385291       0.536899  ACCEPT
        778.321       2.431114       0.489939  ACCEPT
        780.752       2.523594       0.557847  ACCEPT
        783.275       2.552459       0.684937  ACCEPT
        785.828       2.477829       0.709108  ACCEPT
        788.306       2.388753       0.588023  ACCEPT
        790.694       2.390754       0.486721  ACCEPT
        793.085       2.484971       0.505002  ACCEPT
        795.570       2.563924       0.634006  ACCEPT
        798.134       2.527720       0.738679  ACCEPT
        800.662       2.417021       0.659489  ACCEPT
        803.079       2.364184       0.512312  ACCEPT
        805.443       2.432299       0.468414  ACCEPT
        807.875       2.547614       0.563852  ACCEPT
        810.423       2.571243       0.724731  ACCEPT
        812.994       2.468029       0.734773  ACCEPT
        815.462       2.362448       0.570691  ACCEPT
        817.825       2.378617       0.458040  ACCEPT
        820.203       2.502570       0.494996  ACCEPT
        822.706       2.592438       0.664325  ACCEPT
        825.298       2.532064       0.784601  ACCEPT
        827.830       2.392145       0.659771  ACCEPT
        830.223       2.339653       0.481588  ACCEPT
        832.562       2.437018       0.445048  ACCEPT
        834.999       2.578813       0.575606  ACCEPT
        837.578       2.592014       0.778562  ACCEPT
        840.170       2.452569       0.762841  ACCEPT
        842.623       2.330112       0.546052  ACCEPT
        844.953       2.366860       0.425484  ACCEPT
        847.320       2.527193       0.486726  ACCEPT
        849.847       2.626782       0.707648  ACCEPT
        852.474       2.533395       0.842086  ACCEPT
        855.007       2.359795       0.654174  ACCEPT
        857.367       2.311948       0.444902  ACCEPT
        859.679       2.446627       0.420648  ACCEPT
        862.125       2.618343       0.595379  ACCEPT
        864.744       2.614028       0.850629  ACCEPT
        867.358       2.429992       0.791843  ACCEPT
